game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
time-warp,3:00,,3:00,When minute hand points to 12 - read the hour hand!,3,Easy,read,6:00,12:00,Hour hand on 3,,0,9:00,
time-warp,6:00,,6:00,6:00 - hour hand on 6 minute hand on 12.,6,Easy,read,3:00,12:00,Hour hand on 6,,0,9:00,
time-warp,9:00,,9:00,9 oclock - the hour hand points to 9!,9,Easy,read,6:00,12:00,Hour hand on 9,,0,3:00,
time-warp,12:00,,12:00,12:00 - both hands point straight up!,12,Easy,read,6:00,9:00,Both hands up,,0,3:00,
time-warp,3:30,,3:30,Half past = 30 minutes. Minute hand on 6!,3,Easy,read,3:00,4:30,Half past 3,,30,4:00,
time-warp,6:30,,6:30,At :30 the minute hand is on the 6 (bottom).,6,Medium,read,6:00,7:30,Half past 6,,30,7:00,
time-warp,2:15,,2:15,Quarter past = 15 minutes. Minute hand on 3!,2,Medium,read,2:30,3:15,Quarter past 2,,15,2:45,
time-warp,4:45,,4:45,4:45 is also called quarter to 5!,4,Medium,read,4:15,4:30,Quarter to 5,,45,5:00,
time-warp,7:30,,7:30,The short hand shows hours the long hand shows minutes.,7,Medium,read,7:00,6:30,Half past 7,,30,8:00,
time-warp,10:15,,10:15,15 minutes = quarter of an hour!,10,Medium,read,10:30,9:15,Quarter past 10,,15,10:45,
time-warp,2 hours,,2 hours,Count from 2 to 4: thats 2 hours!,2:00 to 4:00,Hard,duration,3 hours,4 hours,Count the hours,,,1 hour,
time-warp,30 minutes,,30 minutes,From :00 to :30 is always 30 minutes (half hour)!,3:00 to 3:30,Hard,duration,1 hour,45 minutes,Half hour passed,,,15 minutes,
time-warp,1 hour 30 min,,1 hour 30 min,1:00 to 2:00 = 1 hour. Then 2:00 to 2:30 = 30 min. Total: 1.5 hours!,1:00 to 2:30,Hard,duration,2 hours,45 minutes,Hour and a half,,,1 hour,
time-warp,3 hours,,3 hours,Count: 5→6 (1hr) 6→7 (2hr) 7→8 (3hr) = 3 hours!,5:00 to 8:00,Hard,duration,2 hours,5 hours,Count from 5 to 8,,,4 hours,
time-warp,45 minutes,,45 minutes,From :00 to :45 is 45 minutes (3 quarters of an hour)!,9:00 to 9:45,Hard,duration,30 minutes,15 minutes,Almost an hour,,,1 hour,
time-warp,1:00,,1:00,1 o'clock - hour hand points to 1!,1,Easy,read,2:00,11:00,Hour hand on 1,,0,12:00,
time-warp,2:00,,2:00,2:00 - both hands make an L shape!,2,Easy,read,1:00,4:00,Hour hand on 2,,0,3:00,
time-warp,5:00,,5:00,5 o'clock - minute hand up hour hand on 5!,5,Easy,read,4:00,7:00,Hour hand on 5,,0,6:00,
time-warp,8:30,,8:30,8:30 - halfway between 8 and 9!,8,Medium,read,8:00,7:30,Half past 8,,30,9:00,
time-warp,5:15,,5:15,15 minutes after 5 o'clock!,5,Medium,read,5:30,4:15,Quarter past 5,,15,5:45,
time-warp,11:45,,11:45,11:45 is 15 minutes before noon!,11,Medium,read,11:15,10:45,Quarter to 12,,45,12:00,
time-warp,3 hours,,3 hours,From 4 to 7 is 3 hours: 4→5→6→7!,4:00 to 7:00,Hard,duration,4 hours,5 hours,Count hours,,,2 hours,
time-warp,15 minutes,,15 minutes,15 minutes = quarter of an hour!,6:00 to 6:15,Hard,duration,30 minutes,1 hour,Quarter hour,,,45 minutes,
time-warp,2 hours 30 min,,2 hours 30 min,2:30 to 5:00 = 2.5 hours!,2:30 to 5:00,Hard,duration,2 hours,2 hours 15 min,Two and a half hours,,,3 hours,
