game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,grade,skill,cognitive_demand
sequence-story,Easy,"Maya woke up, brushed her teeth, and put on her uniform. What should she most likely do next before school?",Everyday sequence,eat breakfast,eat breakfast,go to bed,take an evening bath,turn off the classroom lights,Follow a normal morning routine.,"After getting ready, eating breakfast is a sensible next step before school.",Grade 4,Sequencing,1-step
sequence-story,Easy,"Leo planted a seed, covered it with soil, and watered it. What comes next?",Process sequence,place the pot where it gets light,harvest fruit immediately,remove all soil,freeze the pot,place the pot where it gets light,What does a newly planted seed need?,"After planting and watering, the pot should be placed where the seed can get suitable light.",Grade 4,Sequencing,1-step
sequence-story,Easy,"Nina opened a book, read the first page, then read the second page. What comes next?",Ordered sequence,read the third page,read page one again only,tear out page four,read the third page,close the book forever,Continue the page order.,"After pages one and two, page three comes next.",Grade 4,Sequencing,1-step
sequence-story,Easy,"The class lined up, walked to the hall, and sat in their seats. What likely happens next?",Event sequence,the programme begins,they return to yesterday,the programme begins,they wake up at home,the hall is built,What usually follows taking seats for an event?,"Once everyone is seated, the programme can begin.",Grade 4,Sequencing,1-step
sequence-story,Easy,"Ravi washed an apple, cut it into pieces, and put the pieces in a bowl. What next?",Food-preparation sequence,eat or serve the apple,eat or serve the apple,plant the bowl,wash the apple before buying it,freeze the knife in soil,The food is prepared now.,"After washing and cutting, the apple is ready to eat or serve.",Grade 4,Sequencing,1-step
sequence-story,Easy,"Asha put toothpaste on her brush, brushed her teeth, and rinsed her mouth. What next?",Routine sequence,put the toothbrush away,add more toothpaste to breakfast,go back to sleep while brushing,wash the floor with the brush,put the toothbrush away,Finish the routine.,"After rinsing, putting the toothbrush away completes the routine.",Grade 4,Sequencing,1-step
sequence-story,Easy,The traffic light changed from red to green. Cars began moving. What likely happens next?,Traffic sequence,cars continue through the junction safely,all cars reverse at once,the traffic light disappears,cars continue through the junction safely,the road becomes a river,Follow what green means for traffic.,"When green permits movement, cars proceed through the junction while following rules.",Grade 4,Sequencing,1-step
sequence-story,Easy,Tom filled a kettle with water and switched it on. What happens next?,Process sequence,the water heats up,the cup turns into a spoon,the water heats up,the water freezes,the kettle becomes empty instantly,Think about what a switched-on kettle does.,A kettle uses energy to heat the water.,Grade 4,Sequencing,1-step
sequence-story,Easy,Priya wrote her name on the worksheet and answered the questions. What should she do next?,Schoolwork sequence,check her answers,check her answers,erase her name,throw away the worksheet,start yesterday again,Good work habits include reviewing.,"After answering, checking helps catch mistakes.",Grade 4,Sequencing,1-step
sequence-story,Easy,The team warmed up and the referee blew the whistle. What happens next?,Sports sequence,the game starts,the trophy is awarded first,everyone goes home,the field is packed away,the game starts,What does the starting whistle signal?,The whistle signals that play can begin.,Grade 4,Sequencing,1-step
