game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
estimation-express,90,,100,Estimation helps checking answers!,30,Medium,+,100,110,Round 30 -> 30 and 71 -> 70,,71,70,
estimation-express,60,,60,Estimation helps checking answers!,14,Medium,*,70,80,Close to 10 x 4,,4,50,
estimation-express,60,,80,Estimation helps checking answers!,21,Medium,*,100,80,Close to 20 x 4,,4,50,
estimation-express,110,,110,Estimation helps checking answers!,31,Medium,+,80,140,Round 31 -> 30 and 83 -> 80,,83,90,
estimation-express,20,,30,Estimation helps checking answers!,63,Medium,-,60,30,Round 63 -> 60 and 34 -> 30,,34,50,
estimation-express,70,,100,Estimation helps checking answers!,85,Medium,+,100,120,Round 85 -> 80 and 15 -> 20,,15,80,
estimation-express,70,,100,Estimation helps checking answers!,25,Medium,*,120,110,Close to 20 x 4,,4,100,
estimation-express,80,,80,Estimation helps checking answers!,16,Medium,+,100,90,Round 16 -> 20 and 65 -> 60,,65,70,
estimation-express,80,,80,Estimation helps checking answers!,20,Medium,+,60,50,Round 20 -> 20 and 65 -> 60,,65,90,
estimation-express,50,,60,Estimation helps checking answers!,73,Medium,-,30,70,Round 73 -> 70 and 15 -> 20,,15,60,
estimation-express,50,,20,Estimation helps checking answers!,54,Medium,-,20,40,Round 54 -> 50 and 30 -> 30,,30,30,
estimation-express,40,,40,Estimation helps checking answers!,83,Medium,-,30,60,Round 83 -> 80 and 45 -> 40,,45,10,
estimation-express,60,,90,Estimation helps checking answers!,101,Medium,-,90,70,Round 101 -> 100 and 15 -> 20,,15,120,
estimation-express,20,,40,Estimation helps checking answers!,13,Medium,*,30,50,Close to 10 x 3,,3,40,
estimation-express,50,,30,Estimation helps checking answers!,12,Medium,+,20,10,Round 12 -> 10 and 15 -> 20,,15,30,
estimation-express,50,,30,Estimation helps checking answers!,55,Medium,-,40,10,Round 55 -> 60 and 26 -> 30,,26,30,
estimation-express,100,,120,Estimation helps checking answers!,132,Medium,-,130,90,Round 132 -> 130 and 15 -> 20,,15,120,
estimation-express,10,,0,Estimation helps checking answers!,50,Medium,-,20,30,Round 50 -> 50 and 46 -> 50,,46,0,
