game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,grade,skill,cognitive_demand
analogy-arena,Easy,Bird is to nest as bee is to _____.,Home relationship,hive,hive,web,den,pond,Think about where a bee lives.,A bird lives in a nest; a bee lives in a hive.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Puppy is to dog as kitten is to _____.,Young-to-adult,cat,cub,goat,horse,cat,Match a young animal to its adult.,A puppy grows into a dog; a kitten grows into a cat.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Book is to read as song is to _____.,Action relationship,listen,taste,plant,listen,draw,What do you do with each item?,You read a book and listen to a song.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Knife is to cut as pencil is to _____.,Tool function,write,measure,write,wash,jump,Think of the main job of the tool.,A knife cuts; a pencil writes.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Hot is to cold as tall is to _____.,Opposites,short,short,wide,high,thin,Look for an opposite word.,Hot and cold are opposites; tall and short are opposites.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Morning is to breakfast as evening is to _____.,Daily routine,dinner,lunch,snack,school,dinner,Match the meal usually linked with the time.,Breakfast is usually in the morning; dinner is usually in the evening.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Eye is to see as ear is to _____.,Sense organ,hear,touch,taste,hear,smell,What sense does the body part help with?,Eyes help us see; ears help us hear.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Fish is to water as camel is to _____.,Habitat,desert,ice,desert,forest,ocean,Think of the usual habitat.,Fish live in water; camels are adapted to deserts.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Teacher is to school as doctor is to _____.,Workplace,hospital,hospital,farm,library,factory,Where does each person commonly work?,A teacher works at a school; a doctor commonly works at a hospital.,Grade 4,Verbal Reasoning,1-step
analogy-arena,Easy,Wheel is to car as page is to _____.,Part-to-whole,book,pen,desk,map,book,Each first word is a part of the second.,A wheel is part of a car; a page is part of a book.,Grade 4,Verbal Reasoning,1-step
