game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
story-solver,2,Tom has 14 toy cars. He arranges them in rows of 2. How many rows does he make?,7,Divide the total cars by the number in each row.,14,Medium,word_problem,7,3,Divide 14 by 2,,2,8,
story-solver,Yes,Sarah has 13 apples. She wants to give one to each of her 13 friends. Does she have enough?,Yes,Compare the number of apples to the number of friends.,13,Medium,word_problem,No,Don't Know,Is 13 bigger than 13?,,13,Maybe,
story-solver,61,There are 25 cookies in a jar. Mom puts 36 more cookies in. How many cookies are there now?,61,Add the new cookies to the ones already there.,25,Medium,word_problem,66,58,Add them up!,,36,57,
story-solver,50,A box holds 85 crayons. 40 crayons are broken. How many are not broken?,45,Subtract the broken crayons from the total.,85,Medium,word_problem,48,45,Take away the broken ones.,,40,40,
story-solver,30,Leo reads 9 pages on Monday and 26 pages on Tuesday. How many pages did he read in total?,35,Add the pages from both days together.,9,Medium,word_problem,31,35,Combine Monday and Tuesday.,,26,32,
story-solver,59,Emma has 38 stickers. She buys 18 more. How many stickers does she have now?,56,Add the stickers she started with and the ones she bought!,38,Medium,word_problem,51,57,Think: 38 plus 18,,18,56,
story-solver,16,There are 37 birds on a tree. 21 fly away. How many birds are left?,16,Subtract the birds that flew away from the total.,37,Medium,word_problem,12,14,Think: 37 minus 21,,21,19,
story-solver,48,Emma has 36 stickers. She buys 16 more. How many stickers does she have now?,52,Add the stickers she started with and the ones she bought!,36,Medium,word_problem,53,50,Think: 36 plus 16,,16,52,
story-solver,8,There are 22 birds on a tree. 14 fly away. How many birds are left?,8,Subtract the birds that flew away from the total.,22,Medium,word_problem,4,11,Think: 22 minus 14,,14,9,
story-solver,Yes,Sarah has 12 apples. She wants to give one to each of her 14 friends. Does she have enough?,No,Compare the number of apples to the number of friends.,12,Medium,word_problem,No,Don't Know,Is 12 bigger than 14?,,14,Maybe,
story-solver,1,A box holds 32 crayons. 28 crayons are broken. How many are not broken?,4,Subtract the broken crayons from the total.,32,Medium,word_problem,8,4,Take away the broken ones.,,28,6,
story-solver,12,Tom has 20 toy cars. He arranges them in rows of 2. How many rows does he make?,10,Divide the total cars by the number in each row.,20,Medium,word_problem,10,15,Divide 20 by 2,,2,11,
story-solver,3,A garden has 3 rows of flowers. Each row has 2 flowers. How many flowers are there in total?,6,Multiply rows by flowers per row.,3,Medium,word_problem,5,6,3 groups of 2,,2,10,
story-solver,Yes,Sarah has 7 apples. She wants to give one to each of her 13 friends. Does she have enough?,No,Compare the number of apples to the number of friends.,7,Medium,word_problem,No,Don't Know,Is 7 bigger than 13?,,13,Maybe,
story-solver,63,There are 35 cookies in a jar. Mom puts 32 more cookies in. How many cookies are there now?,67,Add the new cookies to the ones already there.,35,Medium,word_problem,67,64,Add them up!,,32,72,
story-solver,7,Tom has 20 toy cars. He arranges them in rows of 4. How many rows does he make?,5,Divide the total cars by the number in each row.,20,Medium,word_problem,8,1,Divide 20 by 4,,4,5,
story-solver,7,A classroom has 68 chairs. 64 chairs are empty. How many chairs are occupied?,4,Total chairs minus empty chairs equals occupied chairs.,68,Medium,word_problem,4,1,Subtract the empty ones.,,64,5,
story-solver,11,A box holds 25 crayons. 18 crayons are broken. How many are not broken?,7,Subtract the broken crayons from the total.,25,Medium,word_problem,7,2,Take away the broken ones.,,18,9,
story-solver,9,A garden has 2 rows of flowers. Each row has 3 flowers. How many flowers are there in total?,6,Multiply rows by flowers per row.,2,Medium,word_problem,5,11,2 groups of 3,,3,6,
story-solver,22,Leo reads 6 pages on Monday and 20 pages on Tuesday. How many pages did he read in total?,26,Add the pages from both days together.,6,Medium,word_problem,30,26,Combine Monday and Tuesday.,,20,24,
story-solver,52,Emma has 41 stickers. She buys 8 more. How many stickers does she have now?,49,Add the stickers she started with and the ones she bought!,41,Medium,word_problem,49,51,Think: 41 plus 8,,8,47,
story-solver,51,A garden has 7 rows of flowers. Each row has 8 flowers. How many flowers are there in total?,56,Multiply rows by flowers per row.,7,Medium,word_problem,56,59,7 groups of 8,,8,60,
story-solver,8,Tom has 20 toy cars. He arranges them in rows of 4. How many rows does he make?,5,Divide the total cars by the number in each row.,20,Medium,word_problem,5,1,Divide 20 by 4,,4,2,
story-solver,44,Leo reads 22 pages on Monday and 22 pages on Tuesday. How many pages did he read in total?,44,Add the pages from both days together.,22,Medium,word_problem,46,43,Combine Monday and Tuesday.,,22,48,
story-solver,70,Emma has 30 stickers. She buys 37 more. How many stickers does she have now?,67,Add the stickers she started with and the ones she bought!,30,Medium,word_problem,68,67,Think: 30 plus 37,,37,65,
story-solver,13,Tom has 45 toy cars. He arranges them in rows of 5. How many rows does he make?,9,Divide the total cars by the number in each row.,45,Medium,word_problem,9,8,Divide 45 by 5,,5,6,
story-solver,26,There are 52 birds on a tree. 25 fly away. How many birds are left?,27,Subtract the birds that flew away from the total.,52,Medium,word_problem,27,22,Think: 52 minus 25,,25,28,
story-solver,18,A box holds 41 crayons. 19 crayons are broken. How many are not broken?,22,Subtract the broken crayons from the total.,41,Medium,word_problem,26,25,Take away the broken ones.,,19,22,
story-solver,8,Tom has 50 toy cars. He arranges them in rows of 5. How many rows does he make?,10,Divide the total cars by the number in each row.,50,Medium,word_problem,7,10,Divide 50 by 5,,5,15,
story-solver,50,A box holds 61 crayons. 11 crayons are broken. How many are not broken?,50,Subtract the broken crayons from the total.,61,Medium,word_problem,53,51,Take away the broken ones.,,11,45,
story-solver,73,Emma has 38 stickers. She buys 30 more. How many stickers does she have now?,68,Add the stickers she started with and the ones she bought!,38,Medium,word_problem,71,66,Think: 38 plus 30,,30,68,
story-solver,5,Tom has 25 toy cars. He arranges them in rows of 5. How many rows does he make?,5,Divide the total cars by the number in each row.,25,Medium,word_problem,1,8,Divide 25 by 5,,5,3,
story-solver,Yes,Sarah has 10 apples. She wants to give one to each of her 12 friends. Does she have enough?,No,Compare the number of apples to the number of friends.,10,Medium,word_problem,No,Don't Know,Is 10 bigger than 12?,,12,Maybe,
story-solver,1,A box holds 87 crayons. 86 crayons are broken. How many are not broken?,1,Subtract the broken crayons from the total.,87,Medium,word_problem,6,3,Take away the broken ones.,,86,4,
story-solver,63,Leo reads 30 pages on Monday and 35 pages on Tuesday. How many pages did he read in total?,65,Add the pages from both days together.,30,Medium,word_problem,65,67,Combine Monday and Tuesday.,,35,69,
story-solver,84,A box holds 89 crayons. 6 crayons are broken. How many are not broken?,83,Subtract the broken crayons from the total.,89,Medium,word_problem,83,81,Take away the broken ones.,,6,79,
story-solver,Yes,Sarah has 9 apples. She wants to give one to each of her 8 friends. Does she have enough?,Yes,Compare the number of apples to the number of friends.,9,Medium,word_problem,No,Don't Know,Is 9 bigger than 8?,,8,Maybe,
story-solver,41,Leo reads 19 pages on Monday and 17 pages on Tuesday. How many pages did he read in total?,36,Add the pages from both days together.,19,Medium,word_problem,35,32,Combine Monday and Tuesday.,,17,36,
story-solver,47,Leo reads 39 pages on Monday and 10 pages on Tuesday. How many pages did he read in total?,49,Add the pages from both days together.,39,Medium,word_problem,49,44,Combine Monday and Tuesday.,,10,54,
story-solver,Yes,Sarah has 14 apples. She wants to give one to each of her 13 friends. Does she have enough?,Yes,Compare the number of apples to the number of friends.,14,Medium,word_problem,No,Don't Know,Is 14 bigger than 13?,,13,Maybe,
story-solver,52,A garden has 7 rows of flowers. Each row has 7 flowers. How many flowers are there in total?,49,Multiply rows by flowers per row.,7,Medium,word_problem,49,44,7 groups of 7,,7,47,
