game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
measurement-mission,20,How many 500ml bottles fill a 5 liter jug?,10,Measure carefully!,,Medium,capacity,10,7,1 Liter = 2 x 500ml,,,5,
measurement-mission,12,How many hours is 180 minutes?,3,Measure carefully!,,Medium,time,3,18,60 minutes = 1 hour,,,6,
measurement-mission,500,How many meters in 1000 centimeters?,10,Measure carefully!,,Medium,length,100,10,100 cm = 1 m,,,10000,
measurement-mission,2000,How many grams in 2 kilograms?,2000,Measure carefully!,,Medium,weight,20,200,1 kg = 1000 g,,,1000,
measurement-mission,Equal,Is 30 minutes more than an hour?,No,Measure carefully!,,Medium,time,Yes,Maybe,60 minutes = 1 hour,,,No,
measurement-mission,400,How many grams in 4 kilograms?,4000,Measure carefully!,,Medium,weight,40,4000,1 kg = 1000 g,,,2000,
measurement-mission,10,How many 500ml bottles fill a 5 liter jug?,10,Measure carefully!,,Medium,capacity,5,7,1 Liter = 2 x 500ml,,,20,
measurement-mission,6,How many 500ml bottles fill a 3 liter jug?,6,Measure carefully!,,Medium,capacity,12,5,1 Liter = 2 x 500ml,,,3,
measurement-mission,1000,How many grams in 2 kilograms?,2000,Measure carefully!,,Medium,weight,200,20,1 kg = 1000 g,,,2000,
measurement-mission,16,How many 500ml bottles fill a 4 liter jug?,8,Measure carefully!,,Medium,capacity,8,4,1 Liter = 2 x 500ml,,,6,
measurement-mission,25,How many meters in 250 centimeters?,2.5,Measure carefully!,,Medium,length,125,2.5,100 cm = 1 m,,,2500,
measurement-mission,8,How many hours is 120 minutes?,2,Measure carefully!,,Medium,time,12,2,60 minutes = 1 hour,,,4,
measurement-mission,No,Is 30 minutes more than an hour?,No,Measure carefully!,,Medium,time,Maybe,Yes,60 minutes = 1 hour,,,Equal,
measurement-mission,12,How many hours is 120 minutes?,2,Measure carefully!,,Medium,time,2,4,60 minutes = 1 hour,,,8,
measurement-mission,200,How many grams in 2 kilograms?,2000,Measure carefully!,,Medium,weight,20,1000,1 kg = 1000 g,,,2000,
measurement-mission,1500,How many grams in 3 kilograms?,3000,Measure carefully!,,Medium,weight,30,300,1 kg = 1000 g,,,3000,
measurement-mission,100,How many meters in 200 centimeters?,2,Measure carefully!,,Medium,length,2000,20,100 cm = 1 m,,,2,
measurement-mission,250,How many meters in 500 centimeters?,5,Measure carefully!,,Medium,length,5000,5,100 cm = 1 m,,,50,
measurement-mission,6,How many hours is 180 minutes?,3,Measure carefully!,,Medium,time,12,18,60 minutes = 1 hour,,,3,
measurement-mission,10000,How many meters in 1000 centimeters?,10,Measure carefully!,,Medium,length,500,100,100 cm = 1 m,,,10,
measurement-mission,Maybe,Is 30 minutes more than an hour?,No,Measure carefully!,,Medium,time,No,Yes,60 minutes = 1 hour,,,Equal,
measurement-mission,4000,How many grams in 4 kilograms?,4000,Measure carefully!,,Medium,weight,2000,40,1 kg = 1000 g,,,400,
measurement-mission,18,How many hours is 180 minutes?,3,Measure carefully!,,Medium,time,12,3,60 minutes = 1 hour,,,6,
measurement-mission,4,How many hours is 120 minutes?,2,Measure carefully!,,Medium,time,2,12,60 minutes = 1 hour,,,8,
measurement-mission,2,How many hours is 120 minutes?,2,Measure carefully!,,Medium,time,8,4,60 minutes = 1 hour,,,12,
measurement-mission,1.5,How many meters in 150 centimeters?,1.5,Measure carefully!,,Medium,length,75,15,100 cm = 1 m,,,1500,
measurement-mission,3,How many 500ml bottles fill a 3 liter jug?,6,Measure carefully!,,Medium,capacity,12,5,1 Liter = 2 x 500ml,,,6,
measurement-mission,250,How many meters in 500 centimeters?,5,Measure carefully!,,Medium,length,5000,50,100 cm = 1 m,,,5,
measurement-mission,20,How many 500ml bottles fill a 5 liter jug?,10,Measure carefully!,,Medium,capacity,7,10,1 Liter = 2 x 500ml,,,5,
measurement-mission,300,How many grams in 3 kilograms?,3000,Measure carefully!,,Medium,weight,3000,1500,1 kg = 1000 g,,,30,
measurement-mission,4,How many 500ml bottles fill a 2 liter jug?,4,Measure carefully!,,Medium,capacity,2,8,1 Liter = 2 x 500ml,,,4,
measurement-mission,1.5,How many meters in 150 centimeters?,1.5,Measure carefully!,,Medium,length,75,15,100 cm = 1 m,,,1500,
measurement-mission,20,How many meters in 200 centimeters?,2,Measure carefully!,,Medium,length,2,100,100 cm = 1 m,,,2000,
measurement-mission,Yes,Is 30 minutes more than an hour?,No,Measure carefully!,,Medium,time,Maybe,No,60 minutes = 1 hour,,,Equal,
measurement-mission,8,How many 500ml bottles fill a 2 liter jug?,4,Measure carefully!,,Medium,capacity,2,4,1 Liter = 2 x 500ml,,,4,
measurement-mission,1000,How many grams in 1 kilograms?,1000,Measure carefully!,,Medium,weight,10,500,1 kg = 1000 g,,,100,
measurement-mission,Yes,Is 30 minutes more than an hour?,No,Measure carefully!,,Medium,time,No,Equal,60 minutes = 1 hour,,,Maybe,
measurement-mission,4,How many 500ml bottles fill a 4 liter jug?,8,Measure carefully!,,Medium,capacity,8,6,1 Liter = 2 x 500ml,,,16,
measurement-mission,1500,How many grams in 3 kilograms?,3000,Measure carefully!,,Medium,weight,3000,300,1 kg = 1000 g,,,30,
measurement-mission,12,How many 500ml bottles fill a 3 liter jug?,6,Measure carefully!,,Medium,capacity,3,6,1 Liter = 2 x 500ml,,,5,
measurement-mission,2500,How many meters in 250 centimeters?,2.5,Measure carefully!,,Medium,length,2.5,125,100 cm = 1 m,,,25,
measurement-mission,1,How many hours is 60 minutes?,1,Measure carefully!,,Medium,time,6,2,60 minutes = 1 hour,,,4,
measurement-mission,50,How many grams in 5 kilograms?,5000,Measure carefully!,,Medium,weight,2500,500,1 kg = 1000 g,,,5000,
measurement-mission,Maybe,Is 30 minutes more than an hour?,No,Measure carefully!,,Medium,time,No,Equal,60 minutes = 1 hour,,,Yes,
measurement-mission,5,How many meters in 500 centimeters?,5,Measure carefully!,,Medium,length,250,50,100 cm = 1 m,,,5000,
measurement-mission,15,How many meters in 150 centimeters?,1.5,Measure carefully!,,Medium,length,75,1500,100 cm = 1 m,,,1.5,
measurement-mission,10000,How many meters in 1000 centimeters?,10,Measure carefully!,,Medium,length,500,10,100 cm = 1 m,,,100,
measurement-mission,6,How many 500ml bottles fill a 4 liter jug?,8,Measure carefully!,,Medium,capacity,16,8,1 Liter = 2 x 500ml,,,4,
measurement-mission,8,How many 500ml bottles fill a 2 liter jug?,4,Measure carefully!,,Medium,capacity,4,2,1 Liter = 2 x 500ml,,,4,
measurement-mission,2,How many meters in 200 centimeters?,2,Measure carefully!,,Medium,length,2000,100,100 cm = 1 m,,,20fraction-frenzy,1/8
