game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
planet-hopper,8,,8,This is counting by 2s (even numbers): 2 4 6 8 10!,2 4 6 ? 10,Easy,,6,12,Add 2 each time,,sequence,10,
planet-hopper,20,,20,Skip counting by 5s like a clock: 5 10 15 20 25!,5 10 15 ? 25,Easy,,15,30,Add 5 each time,,sequence,25,
planet-hopper,12,,12,Times 3 table as a pattern: 3 6 9 12 15!,3 6 9 ? 15,Easy,,10,18,Add 3 each time,,sequence,14,
planet-hopper,40,,40,Counting by 10s is easy: 10 20 30 40 50!,10 20 30 ? 50,Easy,,35,50,Add 10 each time,,sequence,45,
planet-hopper,4,,4,Simple counting! 1 2 3 4 5.,1 2 3 ? 5,Easy,,3,6,Count by 1,,sequence,5,
planet-hopper,16,,16,4 times table: 4 8 12 16 20!,4 8 12 ? 20,Medium,,14,20,Add 4 each time,,sequence,18,
planet-hopper,28,,28,7 times table: 7 14 21 28 35!,7 14 21 ? 35,Medium,,24,35,Add 7 each time,,sequence,30,
planet-hopper,24,,24,Counting by 6s: 6 12 18 24 30!,6 12 18 ? 30,Medium,,20,30,Add 6 each time,,sequence,26,
planet-hopper,36,,36,9 times table: 9 18 27 36 45!,9 18 27 ? 45,Medium,,32,45,Add 9 each time,,sequence,40,
planet-hopper,32,,32,8 times table: 8 16 24 32 40!,8 16 24 ? 40,Medium,,28,40,Add 8 each time,,sequence,36,
planet-hopper,44,,44,11 times table: 11 22 33 44 55!,11 22 33 ? 55,Hard,,40,55,Add 11 each time,,sequence,48,
planet-hopper,48,,48,12 times table: 12 24 36 48 60!,12 24 36 ? 60,Hard,,44,60,Add 12 each time,,sequence,52,
planet-hopper,60,,60,Counting by 15s: Like quarter hours on a clock!,15 30 45 ? 75,Hard,,55,75,Add 15 each time,,sequence,65,
planet-hopper,100,,100,Counting by 25s: Like quarters (coins)!,25 50 75 ? 125,Hard,,90,125,Add 25 each time,,sequence,110,
planet-hopper,54,,54,This is a geometric sequence - multiply by 3 each time!,2 6 18 ? 162,Hard,,36,108,Multiply by 3,,sequence,72,
planet-hopper,7,,7,Odd numbers: 1 3 5 7 9!,1 3 5 ? 9,Easy,,5,11,Add 2 odd numbers,,sequence,9,
planet-hopper,20,,20,Counting by 4s like quarters!,4 8 12 16 ?,Easy,,18,24,Add 4 each time,,sequence,22,
planet-hopper,16,,16,Pattern: ×2 each step. 2 4 8 16 32!,2 4 8 ? 32,Easy,,12,24,Double each time,,sequence,20,
planet-hopper,25,,25,Skip counting by 5s!,5 10 15 20 ?,Medium,,20,35,Add 5 each time,,sequence,30,
planet-hopper,81,,81,Multiply by 3: 3 9 27 81!,3 9 27 ?,Medium,,54,90,Times 3 pattern,,sequence,72,
planet-hopper,70,,70,Counting backwards by 10s!,100 90 80 ? 60,Medium,,65,50,Subtract 10,,sequence,75,
planet-hopper,25,,25,Squares: 1² 2² 3² 4² 5² = 1 4 9 16 25!,1 4 9 16 ?,Hard,,20,36,Square numbers,,sequence,30,
planet-hopper,80,,80,Counting by 20s!,20 40 60 ? 100,Hard,,70,85,Add 20 each time,,sequence,90,
planet-hopper,8,,8,Add last two: 1+1=2 1+2=3 2+3=5 3+5=8!,1 1 2 3 5 ?,Hard,,6,7,Fibonacci sequence,,sequence,10,
