game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,grade,skill,cognitive_demand
cause-effect,Easy,The playground was wet in the morning. What is the most likely cause?,Choose the cause,It rained during the night,It rained during the night,The sun was bright,The bell rang,Children ate lunch,Look for an event that could make the ground wet.,Rain can make the playground wet.,Grade 4,Analytical Thinking,1-step
cause-effect,Easy,Mina watered a drooping plant. What is the likely effect?,Choose the effect,The plant becomes less droopy,The pot becomes smaller,The leaves turn to paper,The soil disappears,The plant becomes less droopy,Water helps a thirsty plant.,"Watering provides moisture, so the plant is likely to perk up.",Grade 4,Analytical Thinking,1-step
cause-effect,Easy,The power went out. What is the most direct effect?,Choose the effect,The electric lights turned off,The books moved,The floor became wet,The electric lights turned off,The windows opened,Think about what needs electricity.,"Electric lights need power, so they turn off during an outage.",Grade 4,Analytical Thinking,1-step
cause-effect,Easy,Arun forgot his umbrella on a rainy day. What may happen?,Choose the effect,He may get wet,The rain may stop,He may get wet,He may get sunburned,His shoes may grow,Connect rain with having no umbrella.,"Without an umbrella in rain, he may get wet.",Grade 4,Analytical Thinking,1-step
cause-effect,Easy,The ice cube was left in the sun. What happened next?,Choose the effect,It melted,It melted,It froze harder,It became a rock,It grew larger,Warmth changes ice.,Heat from the sun melts ice.,Grade 4,Analytical Thinking,1-step
cause-effect,Easy,The class spoke very loudly. What did the teacher most likely do?,Choose the effect,Asked the class to lower their voices,Turned off the clock,Opened every book,Started lunch early,Asked the class to lower their voices,What response matches loud talking?,A teacher may ask a noisy class to become quieter.,Grade 4,Analytical Thinking,1-step
cause-effect,Easy,Riya practised spelling every day. What is a likely effect?,Choose the effect,Her spelling improved,Her pencil became longer,The week became shorter,Her spelling improved,She forgot the alphabet,Practice usually changes skill.,Regular practice can improve spelling.,Grade 4,Analytical Thinking,1-step
cause-effect,Easy,A glass fell from the table onto a hard floor. What may happen?,Choose the effect,It may break,It may turn into wood,It may break,It may float,It may become soft,Think about fragile glass hitting a hard surface.,A hard impact can break glass.,Grade 4,Analytical Thinking,1-step
cause-effect,Easy,The dog heard the doorbell. What may it do?,Choose the effect,Bark or run to the door,Bark or run to the door,Turn into a cat,Read a book,Switch off the rain,Think of a common reaction to a bell.,Dogs often react to a doorbell by barking or going to the door.,Grade 4,Analytical Thinking,1-step
cause-effect,Easy,Sara wore a coat because the weather was cold. What was the cause?,Choose the cause,The weather was cold,Her coat was blue,She had a pencil,It was lunchtime,The weather was cold,The word 'because' gives the cause.,Cold weather caused Sara to wear a coat.,Grade 4,Analytical Thinking,1-step
cause-effect,Medium,The school garden plants were yellow and the soil was very dry. What is the best explanation?,Infer the cause,The plants needed water,The soil was frozen solid,The garden was indoors,The plants needed water,The plants had too many books,Use both clues: yellow plants and dry soil.,"Very dry soil can leave plants short of water, causing yellowing or wilting.",Grade 4,Analytical Thinking,2-step
cause-effect,Medium,"Noah set an alarm for 6:30, but its battery was dead. What is the most likely effect?",Predict the effect,The alarm may not ring,The battery becomes full,The alarm may not ring,The clock becomes a phone,Morning starts later,Dead batteries cannot power the alarm.,"Without battery power, the alarm may fail to ring.",Grade 4,Analytical Thinking,2-step
cause-effect,Medium,"A road was blocked by a fallen tree, so the bus arrived late. Which event is the cause of the delay?",Identify the cause,The road was blocked,The road was blocked,The bus had seats,Students carried bags,The school had a gate,Find the event that prevented normal travel.,"The blocked road slowed or stopped the bus, causing the delay.",Grade 4,Analytical Thinking,2-step
cause-effect,Medium,Meera studied her map before the trip and checked the street names. What effect is most likely?,Predict the effect,She is less likely to get lost,The streets become shorter,The map changes colour,The bus drives faster,She is less likely to get lost,Preparation helps navigation.,Studying a map and street names can reduce the chance of getting lost.,Grade 4,Analytical Thinking,2-step
cause-effect,Medium,A freezer door was left open for a long time. What is the likely result?,Predict the effect,Food inside may start to warm,The door locks itself,The food doubles,Food inside may start to warm,Everything gets colder forever,An open freezer lets warm air enter.,Warm air entering the freezer can raise the temperature inside.,Grade 4,Analytical Thinking,2-step
cause-effect,Medium,The team passed the ball carefully and communicated well. What is a likely effect?,Predict the effect,They work together more effectively,The rules disappear,They work together more effectively,The field gets smaller,The ball becomes square,Connect teamwork habits with performance.,Careful passing and communication usually improve teamwork.,Grade 4,Analytical Thinking,2-step
cause-effect,Medium,"Leah planted two identical seeds, but only one received sunlight. Why might one grow better?",Compare causes,It received sunlight,It received sunlight,Its pot had a name,The seeds were on Tuesday,The ruler was nearby,Both seeds are identical; find the changed condition.,"Sunlight is needed for healthy plant growth, so the seed receiving light has an advantage.",Grade 4,Analytical Thinking,2-step
cause-effect,Medium,The library added clear labels to every shelf. What effect should this have?,Predict the effect,Books are easier to find,Books become heavier,People read backwards,Shelves become invisible,Books are easier to find,Labels give location information.,Clear shelf labels help readers locate categories and books.,Grade 4,Analytical Thinking,2-step
cause-effect,Medium,Kai rushed through his homework without checking it. What is a likely effect?,Predict the effect,He may make avoidable mistakes,The teacher forgets school,His desk becomes taller,He may make avoidable mistakes,The homework writes itself,Rushing reduces checking.,"When work is not checked, simple mistakes are more likely to remain.",Grade 4,Analytical Thinking,2-step
cause-effect,Medium,"A puddle disappeared after a warm, windy afternoon. What caused this?",Infer the cause,Water evaporated faster,Someone froze the air,Water evaporated faster,The puddle learned to move,The ground became a cloud,Warmth and wind speed up a water-cycle process.,"Heat and moving air speed evaporation, so the puddle can disappear.",Grade 4,Analytical Thinking,2-step
cause-effect,Hard,"The classroom felt stuffy. The teacher opened two windows, and a few minutes later students said it felt fresher. Which chain best explains what happened?",Cause-effect chain,"Opening windows increased air flow, which refreshed the room","Opening windows increased air flow, which refreshed the room","Students talked, which made the room colder","The clock moved, which cleaned the air","The desks changed places, which created oxygen","Connect the action, the physical change, and the result.",Opening windows lets more outside air move through the room; increased ventilation can make a stuffy room feel fresher.,Grade 4,Analytical Thinking,3-step
cause-effect,Hard,A soccer match was moved indoors because dark clouds formed and thunder was heard. Which cause mattered most?,Select the strongest cause,Unsafe storm conditions were approaching,The players wore uniforms,The ball was round,The indoor court had lights,Unsafe storm conditions were approaching,Choose the cause that explains the safety decision.,"Thunder and dark storm clouds signal potentially dangerous weather, so moving indoors reduces risk.",Grade 4,Analytical Thinking,3-step
