game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more
lq-lot-3,Medium,What is 3 times the sum of 8 and 4?,Numerical Ability,36,36,24,15,32,"Add inside the phrase first, then multiply.","8 + 4 = 12, and 3 × 12 = 36."
lq-lot-3,Medium,Which fraction is equal to one half?,Numerical Ability,4/8,4/8,3/8,5/8,2/8,A fraction equal to one half has a numerator that is half the denominator.,"4 is half of 8, so 4/8 = 1/2."
lq-lot-3,Medium,A rectangle is 7 cm long and 3 cm wide. What is its perimeter?,Numerical Ability,20 cm,20 cm,21 cm,10 cm,14 cm,Perimeter = 2 × (length + width).,2 × (7 + 3) = 20 cm.
lq-lot-3,Medium,There are 5 bags with 6 marbles in each bag and 4 extra marbles. How many marbles are there altogether?,Numerical Ability,34,34,30,26,40,"Multiply first, then add the extras.","5 × 6 = 30, and 30 + 4 = 34."
lq-lot-3,Medium,Choose the correctly spelled word.,Verbal,because,because,becuase,beacause,becouse,Think of the common spelling: be-cause.,The correct spelling is 'because'.
lq-lot-3,Medium,Complete the sentence: Rohan and I _____ going to the library.,Verbal,are,are,is,am,was,The subject is plural: Rohan and I.,A plural subject takes 'are' in the present tense.
lq-lot-3,Medium,Which pair are opposites?,Verbal,ancient - modern,ancient - modern,quick - fast,silent - quiet,large - huge,"Look for meanings that are opposite, not similar.",Ancient means very old; modern means current or new.
lq-lot-3,Medium,"If every ZIM is a LOP and no LOP is blue, can any ZIM be blue?",Analytical Thinking,No,No,Yes,Only one,Cannot tell,"A ZIM is always a LOP, and LOPs are never blue.","Since every ZIM is a LOP and no LOP is blue, no ZIM can be blue."
lq-lot-3,Medium,Sana is older than Dev but younger than Isha. Who is oldest?,Analytical Thinking,Isha,Isha,Sana,Dev,Cannot tell,Write the age order from oldest to youngest.,"Isha > Sana > Dev, so Isha is oldest."
lq-lot-3,Medium,"Which number does not belong: 18, 27, 36, 45, 52?",Analytical Thinking,52,52,18,27,45,Four numbers are multiples of 9.,"18, 27, 36 and 45 are multiples of 9. 52 is not."
lq-lot-3,Medium,"If A=1, B=2, C=3 and so on, what is the value of BAD?",Analytical Thinking,7,7,6,8,9,"Add the alphabet positions of B, A and D.","B=2, A=1, D=4, so 2+1+4=7."
lq-lot-3,Medium,You face South. Turn left once. Which direction are you facing?,Memory and Concentration,East,East,West,North,South,Imagine standing and looking South; your left side points East.,"From South, a left turn faces East."
lq-lot-3,Medium,"Remember: 8, 3, 6, 1, 9. Which number came immediately before 1?",Memory and Concentration,6,6,3,9,8,Look at the given order.,"The sequence contains ...6, 1..., so 6 came immediately before 1."
lq-lot-3,Medium,Which symbol should replace ? in the pattern? ■ ○ ○ ■ ○ ○ ■ ?,Visual Reasoning,○,○,■,▲,◆,The pattern repeats every three symbols.,"The repeating block is ■, ○, ○, so after ■ comes ○."
lq-lot-3,Medium,Which option has mirror-like letter order around the center?,Visual Reasoning,ABCCBA,ABCCBA,ABCABC,AABBCC,ABCBAC,Read from both ends toward the middle.,ABCCBA reads the same forward and backward.
lq-lot-3,Hard,"A number is multiplied by 4, then 7 is added. The result is 31. What is the number?",Numerical Ability,6,6,5,7,8,Undo the operations in reverse order.,"31 - 7 = 24, then 24 ÷ 4 = 6."
lq-lot-3,Hard,Which sentence has the word 'light' used to mean 'not heavy'?,Verbal,This bag is light enough to carry.,This bag is light enough to carry.,Please turn on the light.,The sky became light at dawn.,The lamp gives bright light.,Look for the meaning related to weight.,"In 'This bag is light enough to carry,' light means not heavy."
lq-lot-3,Hard,"Five books P, Q, R, S and T are stacked. P is above Q. R is below Q. S is above P. T is below R. Which book is on top?",Analytical Thinking,S,S,P,Q,T,Chain the relations from top to bottom.,"The order is S, P, Q, R, T, so S is on top."
lq-lot-3,Hard,"A child faces North. After three right turns and one left turn, which direction is the child facing?",Memory and Concentration,South,South,East,West,North,Combine the turns: three rights equal one left overall; then another left.,North → right East → right South → right West → left South.
lq-lot-3,Hard,"In a row of symbols, positions 1, 3, 5, 7 are triangles and positions 2, 4, 6, 8 are circles. What is at position 11?",Visual Reasoning,Triangle,Triangle,Circle,Square,Star,Odd positions and even positions follow different symbols.,"11 is odd, and all odd positions are triangles."
