game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url,topic
word-class-warp,dog,noun,noun,noun,verb,adjective,adverb,Easy,parts-of-speech,Nouns are people places things or ideas. Dog is a thing!,,,
word-class-warp,run,verb,verb,noun,verb,adjective,adverb,Easy,parts-of-speech,Verbs are action words - what you DO. Run is an action!,,,
word-class-warp,beautiful,adjective,adjective,noun,verb,adjective,adverb,Easy,parts-of-speech,Adjectives describe nouns. Beautiful flower - beautiful is adjective!,,,
word-class-warp,quickly,adverb,adverb,noun,verb,adjective,adverb,Easy,parts-of-speech,Adverbs describe verbs (how you do things). Run QUICKLY!,,,
word-class-warp,happiness,noun,noun,noun,verb,adjective,adverb,Easy,parts-of-speech,Happiness is a thing (an idea/feeling) so its a noun!,,,
word-class-warp,think,verb,verb,noun,verb,adjective,adverb,Medium,parts-of-speech,Think is what your brain DOES - its an action verb!,,,
word-class-warp,enormous,adjective,adjective,noun,verb,adjective,adverb,Medium,parts-of-speech,Enormous describes size. Enormous elephant - its an adjective!,,,
word-class-warp,silently,adverb,adverb,noun,verb,adjective,adverb,Medium,parts-of-speech,-LY ending usually means adverb! Silently describes HOW.,,,
word-class-warp,freedom,noun,noun,noun,verb,adjective,adverb,Medium,parts-of-speech,Freedom is an idea/concept - abstract noun!,,,
word-class-warp,discover,verb,verb,noun,verb,adjective,adverb,Medium,parts-of-speech,Discover is what scientists DO - its an action verb!,,,
word-class-warp,mysterious,adjective,adjective,noun,verb,adjective,adverb,Hard,parts-of-speech,Mysterious describes something. The mysterious box!,,,
word-class-warp,communicate,verb,verb,noun,verb,adjective,adverb,Hard,parts-of-speech,Communicate is an action - something you DO with others!,,,
word-class-warp,extremely,adverb,adverb,noun,verb,adjective,adverb,Hard,parts-of-speech,Extremely modifies adjectives/adverbs. Extremely fast!,,,
word-class-warp,achievement,noun,noun,noun,verb,adjective,adverb,Hard,parts-of-speech,Achievement is a thing you earn - its a noun!,,,
word-class-warp,brilliant,adjective,adjective,noun,verb,adjective,adverb,Hard,parts-of-speech,Brilliant describes someone/something. A brilliant idea!,,,
word-class-warp,jump,verb,verb,noun,verb,adjective,adverb,Easy,parts-of-speech,Jump is an action - what you DO!,,,
word-class-warp,happy,adjective,adjective,noun,verb,adjective,adverb,Easy,parts-of-speech,Happy describes feelings. A happy child!,,,
word-class-warp,slowly,adverb,adverb,noun,verb,adjective,adverb,Easy,parts-of-speech,Slowly tells HOW. Walk slowly. -LY = adverb!,,,
word-class-warp,teacher,noun,noun,noun,verb,adjective,adverb,Medium,parts-of-speech,Teacher is a person - that's a noun!,,,
word-class-warp,bright,adjective,adjective,noun,verb,adjective,adverb,Medium,parts-of-speech,Bright describes light. A bright star!,,,
word-class-warp,happily,adverb,adverb,noun,verb,adjective,adverb,Medium,parts-of-speech,Happily tells HOW you do something. -LY ending!,,,
word-class-warp,imagination,noun,noun,noun,verb,adjective,adverb,Hard,parts-of-speech,Imagination is an idea/concept - abstract noun!,,,
word-class-warp,fascinate,verb,verb,noun,verb,adjective,adverb,Hard,parts-of-speech,Fascinate is what interesting things DO to you!,,,
word-class-warp,carefully,adverb,adverb,noun,verb,adjective,adverb,Hard,parts-of-speech,Carefully describes HOW. Drive carefully!,,,
