game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
space-math,8,,8,When adding start with the bigger number and count up!,5,Easy,+,7,6,Add the numbers together,,3,9
space-math,19,,19,Adding to 12: Count 7 more - 13 14 15 16 17 18 19!,12,Easy,+,18,17,Count up from 12,,7,20
space-math,4,,4,Subtraction means taking away. 8 fingers minus 4 equals 4!,8,Easy,-,3,6,Take away 4 from 8,,4,5
space-math,9,,9,For subtraction count backwards from the bigger number.,15,Easy,-,8,7,Subtract carefully,,6,10
space-math,18,,18,Doubling means adding a number to itself. 9+9=18!,9,Easy,+,17,16,Double 9,,9,19
space-math,38,,38,Break it down: 25+10=35 then 35+3=38.,25,Medium,+,35,36,Add tens then ones,,13,40
space-math,17,,17,Subtract 10 first (34-10=24) then subtract 7 (24-7=17).,34,Medium,-,15,18,Subtract step by step,,17,19
space-math,42,,42,Multiplication is repeated addition. 6x7 means 7+7+7+7+7+7=42.,6,Medium,×,36,35,6 times 7,,7,48
space-math,32,,32,8x4 means 4 groups of 8 or 8+8+8+8=32.,8,Medium,×,28,24,8 times 4,,4,36
space-math,63,,63,Add the ones first (5+8=13) then add tens (40+10=50) plus carry 50+13=63.,45,Medium,+,60,58,Add carefully,,18,65
space-math,27,,27,When ones column needs borrowing take 10 from tens column!,56,Hard,-,25,31,Borrow if needed,,29,29
space-math,72,,72,Trick: 9x8 = 9x9-9 = 81-9 = 72. Or remember 8x9=72!,9,Hard,×,64,63,9 times 8,,8,81
space-math,8,,8,Division answers: How many groups? 48÷6=8 because 6x8=48.,48,Hard,÷,6,9,How many 6s in 48,,6,7
space-math,9,,9,To check division multiply your answer by divisor: 9x8=72 ✓,72,Hard,÷,8,10,Division practice,,8,7
space-math,132,,132,11x12: Think of it as 11x10=110 plus 11x2=22. 110+22=132.,11,Hard,×,121,120,11 times 12,,12,144
alien-invasion,5,,5,Speed tip: For small numbers use your fingers to count!,3,Easy,+,4,7,Quick addition,,2,6
alien-invasion,4,,4,Counting back: Start at 7 count back 3: 6 5 4!,7,Easy,-,3,6,Fast subtraction,,3,5
alien-invasion,9,,9,4+5=9. Remember pairs that make 9: 4+5 3+6 2+7 1+8!,4,Easy,+,8,7,Add quickly,,5,10
alien-invasion,6,,6,10 is easy to subtract from. 10-4=6.,10,Easy,-,5,8,Subtract fast,,4,7
alien-invasion,9,,9,6+3=9. These are number friends that make 9!,6,Easy,+,8,7,Speed math,,3,10
alien-invasion,20,,20,5x4=20. Counting by 5s four times: 5 10 15 20!,5,Medium,×,16,25,Multiply fast,,4,24
alien-invasion,36,,36,6x6=36. A square number - same number times itself!,6,Medium,×,30,32,6 squared,,6,42
