game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
fraction-frenzy,3/10,,7/8,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,7,Easy,identify,2/3,7/8,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:7:8,8,2/10,
fraction-frenzy,3/6,,2/3,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,2,Easy,identify,1/6,2/3,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:2:3,3,1/2,
fraction-frenzy,1/4,,1/3,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,2/3,1/3,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:3,3,5/8,
fraction-frenzy,2/8,,1/2,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,2/6,1/2,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:2,2,1/5,
fraction-frenzy,1/3,,1/3,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,1/2,5/6,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:3,3,1/5,
fraction-frenzy,9/10,,1/5,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,1/2,1/5,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:5,5,4/5,
fraction-frenzy,4/8,,4/6,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,4,Easy,identify,4/6,1/2,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:4:6,6,5/10,
fraction-frenzy,1/3,,4/6,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,4,Easy,identify,4/6,4/8,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:4:6,6,2/3,
fraction-frenzy,3/5,,1/2,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,1/10,1/2,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:2,2,5/8,
fraction-frenzy,1/10,,3/4,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,3,Easy,identify,3/4,1/4,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:3:4,4,2/4,
fraction-frenzy,1/2,,1/2,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,1,Easy,identify,1/8,3/4,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:1:2,2,1/4,
fraction-frenzy,1/2,,7/10,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,7,Easy,identify,3/5,1/4,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:7:10,10,7/10,
fraction-frenzy,2/4,,4/5,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,4,Easy,identify,1/2,3/4,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:4:5,5,4/5,
fraction-frenzy,1/2,,5/6,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,5,Easy,identify,5/6,2/3,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:5:6,6,1/3,
fraction-frenzy,2/5,,5/10,The top number (numerator) counts shaded parts. The bottom number (denominator) counts total parts.,5,Easy,identify,7/8,9/10,Count the shaded parts (top) and total parts (bottom).,dynamic:fraction:5:10,10,5/10,
fraction-frenzy,>,,<,Compare shaded areas.,4/8,Medium,compare,<,?,Right is bigger,dynamic:compare:4:8:5:6,5/6,=,
fraction-frenzy,>,,>,Compare shaded areas.,5/8,Medium,compare,<,?,Left is bigger,dynamic:compare:5:8:1:6,1/6,=,
fraction-frenzy,>,,<,Compare shaded areas.,2/6,Medium,compare,<,?,Right is bigger,dynamic:compare:2:6:4:6,4/6,=,
fraction-frenzy,>,,<,Compare shaded areas.,5/8,Medium,compare,<,?,Right is bigger,dynamic:compare:5:8:4:6,4/6,=,
fraction-frenzy,>,,>,Compare shaded areas.,3/6,Medium,compare,<,?,Left is bigger,dynamic:compare:3:6:1:3,1/3,=,
fraction-frenzy,>,,>,Compare shaded areas.,5/6,Medium,compare,<,?,Left is bigger,dynamic:compare:5:6:4:8,4/8,=,
fraction-frenzy,>,,<,Compare shaded areas.,1/6,Medium,compare,<,?,Right is bigger,dynamic:compare:1:6:2:4,2/4,=,
fraction-frenzy,>,,>,Compare shaded areas.,5/8,Medium,compare,<,?,Left is bigger,dynamic:compare:5:8:1:2,1/2,=,
fraction-frenzy,>,,>,Compare shaded areas.,5/8,Medium,compare,<,?,Left is bigger,dynamic:compare:5:8:1:8,1/8,=,
fraction-frenzy,>,,<,Compare shaded areas.,4/6,Medium,compare,<,?,Right is bigger,dynamic:compare:4:6:6:8,6/8,=,
fraction-frenzy,>,,=,Compare shaded areas.,4/8,Medium,compare,<,?,Equal!,dynamic:compare:4:8:3:6,3/6,=,
fraction-frenzy,>,,>,Compare shaded areas.,2/3,Medium,compare,<,?,Left is bigger,dynamic:compare:2:3:1:3,1/3,=,
fraction-frenzy,>,,<,Compare shaded areas.,1/8,Medium,compare,<,?,Right is bigger,dynamic:compare:1:8:1:2,1/2,=,
fraction-frenzy,>,,>,Compare shaded areas.,1/2,Medium,compare,<,?,Left is bigger,dynamic:compare:1:2:1:3,1/3,=,
fraction-frenzy,>,,<,Compare shaded areas.,2/6,Medium,compare,<,?,Right is bigger,dynamic:compare:2:6:1:2,1/2,=,
fraction-frenzy,2,,2,1/2 is the same as 2/4.,1/2,Hard,fill-blank,3,4,Equivalent fractions.,dynamic:fraction:1:2,?/4,1,
fraction-frenzy,3,,3,1/2 is the same as 3/6.,1/2,Hard,fill-blank,4,6,Equivalent fractions.,dynamic:fraction:1:2,?/6,2,
fraction-frenzy,4,,4,1/2 is the same as 4/8.,1/2,Hard,fill-blank,5,8,Equivalent fractions.,dynamic:fraction:1:2,?/8,3,
fraction-frenzy,5,,5,1/2 is the same as 5/10.,1/2,Hard,fill-blank,6,10,Equivalent fractions.,dynamic:fraction:1:2,?/10,4,
fraction-frenzy,2,,2,1/3 is the same as 2/6.,1/3,Hard,fill-blank,3,6,Equivalent fractions.,dynamic:fraction:1:3,?/6,1,
fraction-frenzy,3,,3,1/3 is the same as 3/9.,1/3,Hard,fill-blank,4,9,Equivalent fractions.,dynamic:fraction:1:3,?/9,2,
fraction-frenzy,4,,4,2/3 is the same as 4/6.,2/3,Hard,fill-blank,5,6,Equivalent fractions.,dynamic:fraction:2:3,?/6,3,
fraction-frenzy,6,,6,2/3 is the same as 6/9.,2/3,Hard,fill-blank,7,9,Equivalent fractions.,dynamic:fraction:2:3,?/9,5,
fraction-frenzy,2,,2,1/4 is the same as 2/8.,1/4,Hard,fill-blank,3,8,Equivalent fractions.,dynamic:fraction:1:4,?/8,1,
fraction-frenzy,6,,6,3/4 is the same as 6/8.,3/4,Hard,fill-blank,7,8,Equivalent fractions.,dynamic:fraction:3:4,?/8,5,
fraction-frenzy,2,,2,1/5 is the same as 2/10.,1/5,Hard,fill-blank,3,10,Equivalent fractions.,dynamic:fraction:1:5,?/10,1,
fraction-frenzy,4,,4,2/5 is the same as 4/10.,2/5,Hard,fill-blank,5,10,Equivalent fractions.,dynamic:fraction:2:5,?/10,3,
fraction-frenzy,3/3,,2/3,Sum of parts.,1/3,Medium,add,2/3,1/3,Add top numbers.,dynamic:add:1:3:1:3,1/3,2/3,
fraction-frenzy,3/3,,3/3,Sum of parts.,1/3,Medium,add,1/3,1/3,Add top numbers.,dynamic:add:1:3:2:3,2/3,2/3,
fraction-frenzy,1/3,,2/3,Sum of parts.,1/3,Medium,add,2/3,1/3,Add top numbers.,dynamic:add:1:3:1:3,1/3,3/3,
fraction-frenzy,3/3,,2/3,Sum of parts.,1/3,Medium,add,3/3,2/3,Add top numbers.,dynamic:add:1:3:1:3,1/3,1/3,
fraction-frenzy,3/5,,5/5,Sum of parts.,2/5,Medium,add,2/5,1/5,Add top numbers.,dynamic:add:2:5:3:5,3/5,5/5,
fraction-frenzy,9/10,,7/10,Sum of parts.,3/10,Medium,add,5/10,7/10,Add top numbers.,dynamic:add:3:10:4:10,4/10,10/10,
fraction-frenzy,6/6,,6/6,Sum of parts.,2/6,Medium,add,5/6,2/6,Add top numbers.,dynamic:add:2:6:4:6,4/6,1/6,
fraction-frenzy,5/10,,8/10,Sum of parts.,5/10,Medium,add,9/10,3/10,Add top numbers.,dynamic:add:5:10:3:10,3/10,8/10,
fraction-frenzy,1/4,,4/4,Sum of parts.,1/4,Medium,add,4/4,3/4,Add top numbers.,dynamic:add:1:4:3:4,3/4,2/4,
fraction-frenzy,2/4,,3/4,Sum of parts.,1/4,Medium,add,3/4,1/4,Add top numbers.,dynamic:add:1:4:2:4,2/4,4/4,
fraction-frenzy,3/10,What fraction is shaded?,1/5,The numerator (top) is 1 and denominator (bottom) is 5.,1,Medium,identify,5/10,4/9,Count the shaded parts vs total parts.,dynamic:fraction:1:5,5,1/5,Fraction
fraction-frenzy,3/5,What fraction is shaded?,3/8,The numerator (top) is 3 and denominator (bottom) is 8.,3,Medium,identify,4/8,3/8,Count the shaded parts vs total parts.,dynamic:fraction:3:8,8,2/9,Fraction
fraction-frenzy,1/2,What fraction is shaded?,1/2,The numerator (top) is 1 and denominator (bottom) is 2.,1,Easy,identify,2/9,1/10,Count the shaded parts vs total parts.,dynamic:fraction:1:2,2,3/10,Fraction
fraction-frenzy,6/9,What fraction is shaded?,1/2,The numerator (top) is 1 and denominator (bottom) is 2.,1,Easy,identify,1/8,1/2,Count the shaded parts vs total parts.,dynamic:fraction:1:2,2,3/4,Fraction
fraction-frenzy,3/6,What fraction is shaded?,3/6,The numerator (top) is 3 and denominator (bottom) is 6.,3,Medium,identify,9/10,2/10,Count the shaded parts vs total parts.,dynamic:fraction:3:6,6,1/9,Fraction
fraction-frenzy,2/3,What fraction is shaded?,2/3,The numerator (top) is 2 and denominator (bottom) is 3.,2,Easy,identify,5/10,3/10,Count the shaded parts vs total parts.,dynamic:fraction:2:3,3,4/8,Fraction
fraction-frenzy,1/2,What fraction is shaded?,1/2,The numerator (top) is 1 and denominator (bottom) is 2.,1,Easy,identify,9/10,4/6,Count the shaded parts vs total parts.,dynamic:fraction:1:2,2,2/10,Fraction
fraction-frenzy,1/10,What fraction is shaded?,1/10,The numerator (top) is 1 and denominator (bottom) is 10.,1,Medium,identify,1/2,3/5,Count the shaded parts vs total parts.,dynamic:fraction:1:10,10,5/10,Fraction
fraction-frenzy,2/9,What fraction is shaded?,1/3,The numerator (top) is 1 and denominator (bottom) is 3.,1,Easy,identify,3/6,1/3,Count the shaded parts vs total parts.,dynamic:fraction:1:3,3,5/9,Fraction
fraction-frenzy,1/4,What fraction is shaded?,1/2,The numerator (top) is 1 and denominator (bottom) is 2.,1,Easy,identify,7/8,8/10,Count the shaded parts vs total parts.,dynamic:fraction:1:2,2,1/2,Fraction
fraction-frenzy,2/3,What fraction is shaded?,2/3,The numerator (top) is 2 and denominator (bottom) is 3.,2,Easy,identify,1/8,5/6,Count the shaded parts vs total parts.,dynamic:fraction:2:3,3,2/6,Fraction
fraction-frenzy,3/6,What fraction is shaded?,1/4,The numerator (top) is 1 and denominator (bottom) is 4.,1,Easy,identify,7/9,1/4,Count the shaded parts vs total parts.,dynamic:fraction:1:4,4,5/10,Fraction
fraction-frenzy,3/6,What fraction is shaded?,4/10,The numerator (top) is 4 and denominator (bottom) is 10.,4,Medium,identify,8/10,2/7,Count the shaded parts vs total parts.,dynamic:fraction:4:10,10,4/10,Fraction
fraction-frenzy,4/9,What fraction is shaded?,2/4,The numerator (top) is 2 and denominator (bottom) is 4.,2,Easy,identify,2/4,1/4,Count the shaded parts vs total parts.,dynamic:fraction:2:4,4,7/9,Fraction
fraction-frenzy,3/6,What fraction is shaded?,1/6,The numerator (top) is 1 and denominator (bottom) is 6.,1,Medium,identify,6/7,1/6,Count the shaded parts vs total parts.,dynamic:fraction:1:6,6,5/6,Fraction
fraction-frenzy,6/7,What fraction is shaded?,1/8,The numerator (top) is 1 and denominator (bottom) is 8.,1,Medium,identify,1/8,3/8,Count the shaded parts vs total parts.,dynamic:fraction:1:8,8,3/10,Fraction
fraction-frenzy,4/6,What fraction is shaded?,1/2,The numerator (top) is 1 and denominator (bottom) is 2.,1,Easy,identify,4/5,7/9,Count the shaded parts vs total parts.,dynamic:fraction:1:2,2,1/2,Fraction
fraction-frenzy,3/9,What fraction is shaded?,5/8,The numerator (top) is 5 and denominator (bottom) is 8.,5,Medium,identify,5/8,8/9,Count the shaded parts vs total parts.,dynamic:fraction:5:8,8,9/10,Fraction
fraction-frenzy,1/10,What fraction is shaded?,2/3,The numerator (top) is 2 and denominator (bottom) is 3.,2,Easy,identify,5/7,1/9,Count the shaded parts vs total parts.,dynamic:fraction:2:3,3,2/3,Fraction
fraction-frenzy,?,Compare the fractions,>,5/8 is bigger than 1/8,5/8,Medium,compare,=,<,Which pie has more shaded area?,dynamic:compare:5:8:1:8,1/8,>,Fraction
fraction-frenzy,?,Compare the fractions,=,1/2 is equal to 3/6,1/2,Medium,compare,=,>,Which pie has more shaded area?,dynamic:compare:1:2:3:6,3/6,<,Fraction
fraction-frenzy,<,Compare the fractions,<,1/3 is smaller than 3/6,1/3,Medium,compare,=,>,Which pie has more shaded area?,dynamic:compare:1:3:3:6,3/6,?,Fraction
fraction-frenzy,>,Compare the fractions,>,1/2 is bigger than 2/8,1/2,Medium,compare,=,?,Which pie has more shaded area?,dynamic:compare:1:2:2:8,2/8,<,Fraction
fraction-frenzy,<,Compare the fractions,<,1/4 is smaller than 4/8,1/4,Medium,compare,>,=,Which pie has more shaded area?,dynamic:compare:1:4:4:8,4/8,?,Fraction
fraction-frenzy,<,Compare the fractions,<,1/3 is smaller than 6/8,1/3,Medium,compare,?,=,Which pie has more shaded area?,dynamic:compare:1:3:6:8,6/8,>,Fraction
fraction-frenzy,=,Compare the fractions,>,2/4 is bigger than 2/8,2/4,Medium,compare,<,>,Which pie has more shaded area?,dynamic:compare:2:4:2:8,2/8,?,Fraction
fraction-frenzy,?,Compare the fractions,=,4/6 is equal to 2/3,4/6,Medium,compare,<,=,Which pie has more shaded area?,dynamic:compare:4:6:2:3,2/3,>,Fraction
fraction-frenzy,?,Compare the fractions,<,3/8 is smaller than 2/3,3/8,Medium,compare,<,=,Which pie has more shaded area?,dynamic:compare:3:8:2:3,2/3,>,Fraction
fraction-frenzy,=,Compare the fractions,<,1/2 is smaller than 5/8,1/2,Medium,compare,?,>,Which pie has more shaded area?,dynamic:compare:1:2:5:8,5/8,<,Fraction
fraction-frenzy,<,Compare the fractions,<,1/2 is smaller than 3/4,1/2,Medium,compare,?,>,Which pie has more shaded area?,dynamic:compare:1:2:3:4,3/4,=,Fraction
fraction-frenzy,=,Compare the fractions,>,7/8 is bigger than 4/6,7/8,Medium,compare,>,<,Which pie has more shaded area?,dynamic:compare:7:8:4:6,4/6,?,Fraction
fraction-frenzy,=,Compare the fractions,=,2/4 is equal to 1/2,2/4,Medium,compare,?,<,Which pie has more shaded area?,dynamic:compare:2:4:1:2,1/2,>,Fraction
fraction-frenzy,?,Compare the fractions,<,1/3 is smaller than 3/4,1/3,Medium,compare,=,<,Which pie has more shaded area?,dynamic:compare:1:3:3:4,3/4,>,Fraction
fraction-frenzy,?,Compare the fractions,<,1/4 is smaller than 1/2,1/4,Medium,compare,<,=,Which pie has more shaded area?,dynamic:compare:1:4:1:2,1/2,>,Fraction
fraction-frenzy,>,Compare the fractions,<,1/4 is smaller than 2/3,1/4,Medium,compare,?,=,Which pie has more shaded area?,dynamic:compare:1:4:2:3,2/3,<,Fraction
fraction-frenzy,?,Compare the fractions,=,1/6 is equal to 1/6,1/6,Medium,compare,<,>,Which pie has more shaded area?,dynamic:compare:1:6:1:6,1/6,=,Fraction
fraction-frenzy,>,Compare the fractions,<,1/2 is smaller than 3/4,1/2,Medium,compare,<,=,Which pie has more shaded area?,dynamic:compare:1:2:3:4,3/4,?,Fraction
fraction-frenzy,=,Compare the fractions,<,3/8 is smaller than 2/3,3/8,Medium,compare,<,>,Which pie has more shaded area?,dynamic:compare:3:8:2:3,2/3,?,Fraction
fraction-frenzy,>,Compare the fractions,>,1/2 is bigger than 2/8,1/2,Medium,compare,=,?,Which pie has more shaded area?,dynamic:compare:1:2:2:8,2/8,<,Fraction
fraction-frenzy,7/10,Add the fractions: 1/5 + 2/5,3/5,"When denominators are same, just add numerators.",1/5,Medium,add,3/5,2/3,Add the top numbers.,dynamic:add:1:5:2:5,2/5,1/5,Fraction
fraction-frenzy,3/4,Add the fractions: 2/5 + 1/5,3/5,"When denominators are same, just add numerators.",2/5,Medium,add,3/5,6/7,Add the top numbers.,dynamic:add:2:5:1:5,1/5,3/9,Fraction
fraction-frenzy,1/6,Add the fractions: 2/4 + 2/4,4/4,"When denominators are same, just add numerators.",2/4,Medium,add,2/4,4/6,Add the top numbers.,dynamic:add:2:4:2:4,2/4,4/4,Fraction
fraction-frenzy,6/6,Add the fractions: 3/6 + 3/6,6/6,"When denominators are same, just add numerators.",3/6,Medium,add,2/9,2/3,Add the top numbers.,dynamic:add:3:6:3:6,3/6,1/4,Fraction
fraction-frenzy,5/9,Add the fractions: 3/5 + 1/5,4/5,"When denominators are same, just add numerators.",3/5,Medium,add,5/6,1/8,Add the top numbers.,dynamic:add:3:5:1:5,1/5,4/5,Fraction
fraction-frenzy,6/10,Add the fractions: 3/8 + 4/8,7/8,"When denominators are same, just add numerators.",3/8,Medium,add,4/7,3/8,Add the top numbers.,dynamic:add:3:8:4:8,4/8,7/8,Fraction
fraction-frenzy,2/4,Add the fractions: 5/8 + 1/8,6/8,"When denominators are same, just add numerators.",5/8,Medium,add,9/10,6/9,Add the top numbers.,dynamic:add:5:8:1:8,1/8,6/8,Fraction
fraction-frenzy,4/6,Add the fractions: 4/6 + 1/6,5/6,"When denominators are same, just add numerators.",4/6,Medium,add,2/7,3/4,Add the top numbers.,dynamic:add:4:6:1:6,1/6,5/6,Fraction
fraction-frenzy,4/8,Add the fractions: 2/5 + 1/5,3/5,"When denominators are same, just add numerators.",2/5,Medium,add,3/9,3/10,Add the top numbers.,dynamic:add:2:5:1:5,1/5,3/5,Fraction
fraction-frenzy,8/10,Add the fractions: 2/6 + 2/6,4/6,"When denominators are same, just add numerators.",2/6,Medium,add,4/6,3/6,Add the top numbers.,dynamic:add:2:6:2:6,2/6,1/8,Fraction
fraction-frenzy,3/4,Add the fractions: 1/4 + 2/4,3/4,"When denominators are same, just add numerators.",1/4,Medium,add,7/9,1/6,Add the top numbers.,dynamic:add:1:4:2:4,2/4,6/9,Fraction
fraction-frenzy,1/9,Add the fractions: 3/6 + 3/6,6/6,"When denominators are same, just add numerators.",3/6,Medium,add,3/9,6/6,Add the top numbers.,dynamic:add:3:6:3:6,3/6,1/5,Fraction
