game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
pattern-planet,🟢,🔴 🟢 🔴 🟢 ?,🔴,Patterns follow a rule!,,Easy,,🟡,🔴,Alternating colors,,,🟣,
pattern-planet,28,20 22 24 26 ?,28,Patterns follow a rule!,,Easy,,31,26,Add 2 each time,,,29,
pattern-planet,30,15 18 21 24 ?,27,Patterns follow a rule!,,Easy,,27,29,Add 3 each time,,,28,
pattern-planet,14,1 2 4 8 ?,16,Patterns follow a rule!,,Easy,,12,16,Double the number each time,,,22,
pattern-planet,25,10 14 18 22 ?,26,Patterns follow a rule!,,Easy,,26,23,Add 4 each time,,,24,
pattern-planet,13,7 9 11 13 ?,15,Patterns follow a rule!,,Easy,,18,15,Add 2 each time,,,14,
pattern-planet,48,3 6 12 24 ?,48,Patterns follow a rule!,,Easy,,54,52,Double the number each time,,,46,
pattern-planet,🌙,☀️ ☁️ ☀️ ☀️ ?,☁️,Patterns follow a rule!,,Easy,,⭐,☁️,Repeats every 3 items,,,☀️,
pattern-planet,🟢,🔵 🟢 🔵 🟢 ?,🔵,Patterns follow a rule!,,Easy,,🔵,🔴,Alternating colors,,,🟣,
pattern-planet,33,16 21 26 31 ?,36,Patterns follow a rule!,,Easy,,37,36,Add 5 each time,,,38,
pattern-planet,☁️,☁️ ⭐ 🌙 ☁️ ?,⭐,Patterns follow a rule!,,Easy,,⚡,⭐,Repeats every 3 items,,,🌙,
pattern-planet,🟡,🔵 🟢 🔵 🟢 ?,🔵,Patterns follow a rule!,,Easy,,🔵,🟣,Alternating colors,,,🟢,
pattern-planet,🟣,🟡 🟣 🟡 🟣 ?,🟡,Patterns follow a rule!,,Easy,,🟡,🔵,Alternating colors,,,🟢,
pattern-planet,20,1 2 4 8 ?,16,Patterns follow a rule!,,Easy,,18,16,Double the number each time,,,22,
pattern-planet,🔴,🟢 🟣 🟢 🟣 ?,🟢,Patterns follow a rule!,,Easy,,🟣,🟢,Alternating colors,,,🟡,
pattern-planet,29,11 15 19 23 ?,27,Patterns follow a rule!,,Easy,,28,30,Add 4 each time,,,27,
pattern-planet,48,3 6 12 24 ?,48,Patterns follow a rule!,,Easy,,54,52,Double the number each time,,,50,
pattern-planet,🟢,🟣 🟢 🟣 🟢 ?,🟣,Patterns follow a rule!,,Easy,,🔵,🟡,Alternating colors,,,🟣,
pattern-planet,16,1 2 4 8 ?,16,Patterns follow a rule!,,Easy,,20,18,Double the number each time,,,10,
pattern-planet,28,2 4 8 16 ?,32,Patterns follow a rule!,,Easy,,32,38,Double the number each time,,,34,
pattern-planet,☀️,☀️ ⚡ ☀️ ☀️ ?,⚡,Patterns follow a rule!,,Easy,,⭐,☁️,Repeats every 3 items,,,⚡,
pattern-planet,🌙,☁️ ☁️ ⚡ ☁️ ?,☁️,Patterns follow a rule!,,Easy,,⭐,☁️,Repeats every 3 items,,,⚡,
pattern-planet,10,1 2 4 8 ?,16,Patterns follow a rule!,,Easy,,16,18,Double the number each time,,,20,
pattern-planet,🟡,🔵 🔴 🔵 🔴 ?,🔵,Patterns follow a rule!,,Easy,,🔵,🔴,Alternating colors,,,🟢,
pattern-planet,🟢,🔴 🟢 🔴 🟢 ?,🔴,Patterns follow a rule!,,Easy,,🔴,🟣,Alternating colors,,,🔵,
pattern-planet,46,3 6 12 24 ?,48,Patterns follow a rule!,,Easy,,48,52,Double the number each time,,,54,
pattern-planet,🔴,🟣 🔴 🟣 🔴 ?,🟣,Patterns follow a rule!,,Easy,,🟡,🔵,Alternating colors,,,🟣,
pattern-planet,⚡,⭐ ☀️ ☁️ ⭐ ?,☀️,Patterns follow a rule!,,Easy,,⭐,☁️,Repeats every 3 items,,,☀️,
pattern-planet,29,15 18 21 24 ?,27,Patterns follow a rule!,,Easy,,27,28,Add 3 each time,,,30,
pattern-planet,☁️,🌙 ☁️ ⭐ 🌙 ?,☁️,Patterns follow a rule!,,Easy,,🌙,⭐,Repeats every 3 items,,,⚡,
pattern-planet,44,3 6 12 24 ?,48,Patterns follow a rule!,,Easy,,46,54,Double the number each time,,,48,
pattern-planet,22,1 2 4 8 ?,16,Patterns follow a rule!,,Easy,,12,14,Double the number each time,,,16,
pattern-planet,⭐,☁️ ☁️ ☀️ ☁️ ?,☁️,Patterns follow a rule!,,Easy,,🌙,☀️,Repeats every 3 items,,,☁️,
pattern-planet,☁️,☁️ ☀️ ☀️ ☁️ ?,☀️,Patterns follow a rule!,,Easy,,☀️,🌙,Repeats every 3 items,,,⭐,
pattern-planet,42,3 6 12 24 ?,48,Patterns follow a rule!,,Easy,,50,52,Double the number each time,,,48,
pattern-planet,33,18 22 26 30 ?,34,Patterns follow a rule!,,Easy,,32,34,Add 4 each time,,,31,
pattern-planet,28,17 20 23 26 ?,29,Patterns follow a rule!,,Easy,,27,29,Add 3 each time,,,32,
pattern-planet,🔵,🔵 🔴 🔵 🔴 ?,🔵,Patterns follow a rule!,,Easy,,🟡,🟣,Alternating colors,,,🔴,
pattern-planet,54,3 6 12 24 ?,48,Patterns follow a rule!,,Easy,,50,44,Double the number each time,,,48,
pattern-planet,🌙,🌙 ☁️ ⭐ 🌙 ?,☁️,Patterns follow a rule!,,Easy,,⭐,⚡,Repeats every 3 items,,,☁️,
pattern-planet,🟣,🔴 🟡 🔴 🟡 ?,🔴,Patterns follow a rule!,,Easy,,🔴,🟢,Alternating colors,,,🟡,
pattern-planet,🟡,🔴 🟢 🔴 🟢 ?,🔴,Patterns follow a rule!,,Easy,,🟢,🟣,Alternating colors,,,🔴,
pattern-planet,🔴,🟡 🔴 🟡 🔴 ?,🟡,Patterns follow a rule!,,Easy,,🟣,🔵,Alternating colors,,,🟡,
pattern-planet,26,13 17 21 25 ?,29,Patterns follow a rule!,,Easy,,28,31,Add 4 each time,,,29,
pattern-planet,32,15 20 25 30 ?,35,Patterns follow a rule!,,Easy,,33,35,Add 5 each time,,,34,
pattern-planet,42,3 6 12 24 ?,48,Patterns follow a rule!,,Easy,,48,52,Double the number each time,,,50,
pattern-planet,18,1 2 4 8 ?,16,Patterns follow a rule!,,Easy,,16,22,Double the number each time,,,20,
pattern-planet,13,1 4 7 10 ?,13,Patterns follow a rule!,,Easy,,11,12,Add 3 each time,,,10,
pattern-planet,21,5 9 13 17 ?,21,Patterns follow a rule!,,Easy,,18,22,Add 4 each time,,,19,
pattern-planet,34,18 22 26 30 ?,34,Patterns follow a rule!,,Easy,,37,35,Add 4 each time,,,32,
