game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,image_url
lq-lot-1,Medium,"The fathers of Ashish and Manish are brothers. Ashish and Manish are male. How is Manish's father's only son related to Ashish's son?","Blood Relations","Uncle","Uncle","Cousin","Brother","Father","Manish's father's only son is Manish himself!","Ashish and Manish are first cousins. Manish's father's only son is Manish. To Ashish's son, Ashish's cousin is an Uncle!",""
lq-lot-1,Medium,"I am a number that comes after 35 and before 52. My tens digit is 2 more than the units digit. Which number am I?","Number Riddle","42","42","31","53","46","The tens digit must be 4. What is 4 - 2?","Between 35 and 52, tens digit 4 gives units digit 4 - 2 = 2. So 42 is between 35 and 52 and 4 is 2 more than 2!",""
lq-lot-1,Medium,"If you were to write the numbers below in words, spelling of which of them would have exactly one vowel in it?","Vowel Count","Two","Two","Four","Eight","Nine","Spell each number and count vowels: A, E, I, O, U","T-W-O has only 1 vowel ('O'). FOUR has 2 (O, U), EIGHT has 2 (E, I), and NINE has 2 (I, E)!",""
lq-lot-1,Medium,"Fill in the blank to make a meaningful sentence.&#10;Can you tie a _____ properly?","Verbal","knot","knout","not","knot","naut","Think of shoelaces or ropes","A 'knot' is tied with string or rope. 'Not' is negation. 'Knout' is a whip. 'Naut' is a misspelling of nought.",""
lq-lot-1,Medium,"Each shape given below has a number in it. Which of the given options lists the shapes, whose numbers would NOT add to 9?","Numerical Ability","Triangle - Circle","Square - Triangle","Circle - Hexagon - Pentagon","Triangle - Circle","Circle - Hexagon","Watch the word NOT! Calculate each option: 4+5=9, 3+6+0=9, 5+3=8, 3+6=9.","Triangle has 5 and circle has 3. So their sum is 8. Hence option C does not add up to 9","svg:shapes-numbered:square=4,pentagon=0,triangle=5,hexagon=6,circle=3"
lq-lot-1,Medium,"Find the ODD one out among the numbers: 15, 25, 35, 49, 55","Odd One Out","49","49","15","25","55","Look at divisibility by 5 or the last digit","15, 25, 35, and 55 all end in 5 and are multiples of 5. 49 is a square of 7 (7 × 7), not divisible by 5!",""
lq-lot-1,Medium,"Find the next term in the series: 4, 7, 12, 19, 28, ?","Series Completion","39","39","37","38","40","Find the difference between consecutive numbers: +3, +5, +7, +9...","The pattern adds consecutive odd numbers: 4 (+3) = 7; 7 (+5) = 12; 12 (+7) = 19; 19 (+9) = 28; 28 (+11) = 39!",""
lq-lot-1,Medium,"What will come in place of '?' in the pattern: (3, 6, 18), (4, 5, 20), (6, 7, ?)","Pattern Matrix","42","42","40","45","48","Multiply the first two numbers in each group","In each group, the third number is the product of the first two: 3 × 6 = 18, 4 × 5 = 20, and 6 × 7 = 42!",""
lq-lot-1,Medium,"A right-angled triangle pointing right is hidden without any rotation. Which shape contains it?","Hidden Figures","Rectangle with diagonal from bottom-left to top-right","Rectangle with diagonal from bottom-left to top-right","Circle with horizontal line","Equilateral triangle pointing up","Hexagon with no inner lines","Dividing a rectangle diagonally creates right-angled triangles","Cutting a rectangle from corner to opposite corner creates two right-angled triangles with upright sides without rotation!","svg:hidden-triangle"
lq-lot-1,Medium,"Four friends ran a race: Kevin finished before Leo. Maya finished after Nina. Leo finished before Nina. Who came in LAST?","Deductive Logic","Maya","Maya","Leo","Nina","Kevin","Order them from 1st to 4th: Kevin -> Leo -> Nina -> ?","The finishing order from first to last is: Kevin (1st), Leo (2nd), Nina (3rd), Maya (4th). Maya finished last!",""
lq-lot-1,Medium,"If yesterday was Tuesday, what day of the week will it be 4 days after tomorrow?","Calendar Arithmetic","Monday","Monday","Sunday","Tuesday","Saturday","If yesterday was Tuesday, today is Wednesday, and tomorrow is Thursday","Yesterday = Tuesday => Today = Wednesday => Tomorrow = Thursday. 4 days after Thursday is Friday (1), Saturday (2), Sunday (3), Monday (4)!",""
lq-lot-1,Medium,"Choose the correct word to complete the idiom: Actions speak louder than ________.","Verbal Idioms","words","words","voices","sounds","speeches","What people do is more important than what they say","The proverb 'Actions speak louder than words' means that people's intentions are judged by their deeds, not their talk.",""
lq-lot-1,Medium,"In a secret code, CAT is coded as 3-1-20 and DOG is coded as 4-15-7. How is PIG coded?","Letter-Number Coding","16-9-7","16-9-7","15-9-7","16-8-7","17-9-8","Find the position of P, I, and G in the alphabet","Each letter is replaced by its alphabet position: P is the 16th letter, I is 9th, and G is 7th, giving 16-9-7!",""
lq-lot-1,Medium,"Rohan walks 10 meters North, turns left, and walks 5 meters. Which direction is he facing now?","Direction Sense","West","West","East","North","South","When facing North, left is West and right is East","Facing North, turning left turns you 90° counter-clockwise towards West!","svg:compass:heading=North"
lq-lot-1,Medium,"Maya is 9 years old today. Her brother Arjun is 3 years younger. How old will Arjun be when Maya is 15 years old?","Age & Logic","12","12","6","18","10","The age gap between siblings never changes!","Arjun is 9 - 3 = 6 years old today (3 years younger). When Maya turns 15, Arjun will be 15 - 3 = 12 years old!",""
lq-lot-1,Hard,"If in a certain language, 'Deva is good' is coded as 'AT ON TO' and 'How is Sumit' is coded as 'TO PO GO', then what is the code for 'is'?","Analytical - Coding Trap","TO","ON","PO","TO","GO","Do not match by word position! Find the word that appears in BOTH sentences.","In both sentences, 'is' is the only common word, and 'TO' is the only common code. Never assume word 1 = code 1; ciphers can scramble the order!",""
lq-lot-1,Hard,"Which letter satisfies BOTH conditions? a. Letter which comes after T in HUNTER. b. Letter which comes after C in DOCTOR.","Positional Word Puzzle","R","R","E","O","T","List letters after T in HUNTER and after C in DOCTOR","In HUNTER, letters after T are E and R. In DOCTOR, letters after C are T, O, and R. The common letter is R!",""
lq-lot-1,Hard,"Third day from today (excluding today) is a Saturday, then which day of the week is tomorrow?","Calendar Math","Thursday","Thursday","Friday","Wednesday","Tuesday","Count backwards from Saturday: Day 3 is Saturday, Day 2 is Friday, Day 1 is tomorrow","Day 3 = Saturday, Day 2 = Friday, Day 1 (tomorrow) = Thursday, and Day 0 (today) = Wednesday!",""
lq-lot-1,Hard,"Karan is standing on a beach facing north. If he makes the movements stated below, after which would he face a direction OTHER than east?","Spatial Rotations","Turn 180° then turn right","Turn 180° then turn right","Turn 90° clockwise","Turn 270° counter-clockwise","Turn right, then right, then left","Facing South after 180°, turning right points towards West","North + 180° = South. From South, turning right faces West, NOT East! The other three all result in East.","svg:compass:heading=North,beach=true"
lq-lot-1,Hard,"Which of the given options CANNOT be used to fill in the blanks to make a meaningful English sentence? He asked, 'If he could ________ on Tuesday?'","Verbal - Preposition Clash","come on","come over","come by","come on","come back","Read aloud with each option before 'on Tuesday'. Watch for double 'on'!","All the other words can be used except 'come on' as that would lead to having two 'on's one after another ('come on on Tuesday') which is incorrect English.",""
