game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,grade,skill,cognitive_demand
classify-quest,Easy,Which item belongs in the category FRUIT?,Category match,apple,apple,carrot,bread,cheese,Choose the item that grows as a fruit.,Apple is a fruit; the other choices are not.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category MUSICAL INSTRUMENT?,Category match,piano,table,bicycle,spoon,piano,Which item is used to make music?,A piano is a musical instrument.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category VEHICLE?,Category match,bus,shirt,banana,bus,sofa,Which item carries people from place to place?,A bus is a vehicle because it is used to carry people from place to place.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category MAMMAL?,Category match,dolphin,octopus,dolphin,shark,trout,Which animal breathes air and feeds milk to its young?,A dolphin is a mammal even though it lives in water.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category TOOL?,Category match,hammer,hammer,pillow,plate,sock,Which item is used to build or repair?,A hammer is a tool used for building and repair work.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category PLANET?,Category match,Mars,Moon,Sun,Polaris,Mars,Which object orbits the Sun as a planet?,Mars is one of the planets that orbit the Sun.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category VEGETABLE?,Category match,spinach,grape,pear,spinach,mango,Think of leafy vegetables.,Spinach is a vegetable.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category SHAPE WITH 4 SIDES?,Category match,rectangle,circle,rectangle,triangle,pentagon,Count the sides.,A rectangle has four sides.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category BODY PART?,Category match,elbow,elbow,helmet,ladder,bottle,Which is part of the human body?,The elbow is a body part.,Grade 4,Classification,1-step
classify-quest,Easy,Which item belongs in the category WEATHER?,Category match,fog,chair,pencil,bread,fog,Which describes an outdoor atmospheric condition?,Fog is a weather condition.,Grade 4,Classification,1-step
classify-quest,Medium,Which pair belongs to the same category?,Pair classification,violin and flute,flute and bicycle,drum and pillow,violin and flute,violin and carrot,Find two items that are both musical instruments.,Violin and flute are both musical instruments.,Grade 4,Classification,2-step
classify-quest,Medium,"Which item belongs with square, triangle, and pentagon?",Join the group,hexagon,river,hexagon,orange,pencil,What kind of things are listed?,"Square, triangle, pentagon, and hexagon are geometric shapes.",Grade 4,Classification,2-step
classify-quest,Medium,"Which item belongs with metre, centimetre, and kilometre?",Join the group,millimetre,millimetre,litre,minute,gram,All listed words measure the same kind of quantity.,"Metre, centimetre, kilometre, and millimetre are units of length.",Grade 4,Classification,2-step
classify-quest,Medium,"Which item belongs with Monday, Thursday, and Saturday?",Join the group,Tuesday,January,summer,noon,Tuesday,They are all names from the same seven-item cycle.,"Tuesday, like the others, is a day of the week.",Grade 4,Classification,2-step
classify-quest,Medium,Which choice contains only renewable energy sources?,Property classification,sunlight and wind,oil and sunlight,gas and coal,sunlight and wind,coal and wind,Both items must be naturally renewed.,Sunlight and wind are renewable energy sources.,Grade 4,Classification,2-step
classify-quest,Medium,"Which item belongs with oak, pine, and maple?",Join the group,birch,mushroom,birch,rose,grass,The listed items are types of trees.,Birch is also a tree.,Grade 4,Classification,2-step
classify-quest,Medium,Which pair belongs to the category 'things that can measure'?,Functional category,ruler and thermometer,ruler and thermometer,spoon and pillow,book and sock,plate and hat,Think about tools that give measurements.,A ruler measures length and a thermometer measures temperature.,Grade 4,Classification,2-step
classify-quest,Medium,"Which item belongs with whisper, shout, and sing?",Join the group,speak,sleep,paint,climb,speak,All listed words can describe using your voice.,Speak belongs with other voice actions.,Grade 4,Classification,2-step
